,County Name,Civilian_labor_force_2019,Civilian_labor_force_2020,Median_Household_Income_2019,PCTPOVALL_2019
234,Tuolumne County,5,"1,332","1,408",11.3
235,Ventura County,2,"17,537","19,431",8.2
236,Yolo County,1,"4,289","4,536",16.9
237,Yuba County,2,"1,907","2,124",15.2
238,Adams County,1,"5,126","7,572",9.3
239,Alamosa County,11,259,327,19.6
240,Arapahoe County,1,"6,802","10,375",7.2
241,Archuleta County,10,159,210,10.8
242,Baca County,12,61,73,19.3
243,Bent County,12,88,109,34.4
244,Boulder County,2,"3,816","6,005",10.7
245,Chaffee County,11,242,300,11.0
246,Cheyenne County,12,28,30,13.7
247,Clear Creek County,1,164,200,7.4
248,Conejos County,12,167,224,19.9
249,Costilla County,12,92,109,24.6
250,Crowley County,7,79,89,40.0
251,Custer County,7,57,74,11.8
252,Delta County,6,454,551,15.1
253,Dolores County,12,50,48,12.8
254,Douglas County,1,"2,159","3,665",2.7
255,Eagle County,8,608,808,7.9
256,Elbert County,1,259,385,5.7
257,El Paso County,2,"7,667","11,345",8.8
258,Fremont County,5,696,920,16.1
259,Garfield County,8,658,817,9.6
260,Gilpin County,1,82,113,6.8
261,Grand County,10,187,239,8.1
262,Gunnison County,11,224,273,11.6
263,Hinsdale County,12,13,22,8.9
264,Huerfano County,6,170,203,20.0
265,Jackson County,10,25,36,12.6
266,Jefferson County,1,"7,232","10,521",7.2
267,Kiowa County,12,24,26,13.5
268,Kit Carson County,11,97,106,13.2
269,Lake County,4,134,159,11.4
270,La Plata County,5,697,805,11.3
271,Larimer County,2,"3,613","4,818",10.3
272,Las Animas County,11,275,326,17.6
273,Lincoln County,7,72,87,17.0
274,Logan County,8,283,338,12.9
275,Mesa County,2,"1,937","2,319",11.2
276,Mineral County,12,15,16,9.4
277,Moffat County,8,246,285,12.2
278,Montezuma County,6,488,521,14.9
279,Montrose County,5,591,742,13.2
280,Morgan County,3,376,425,11.9
281,Otero County,6,379,421,24.2
282,Ouray County,10,58,69,6.9
283,Park County,1,215,303,8.6
284,Phillips County,10,53,66,10.4
285,Pitkin County,8,271,368,6.2
286,Prowers County,11,199,230,18.2
287,Pueblo County,2,"2,495","3,324",17.8
288,Rio Blanco County,10,93,94,10.3
289,Rio Grande County,11,260,334,14.4
290,Routt County,8,312,382,7.2
291,Saguache County,12,150,183,25.4
292,San Juan County,10,23,35,13.7
293,San Miguel County,12,142,188,9.9
294,Sedgwick County,10,37,44,14.6
295,Summit County,8,359,479,6.4
296,Teller County,2,350,472,7.9
297,Washington County,10,62,76,11.8
298,Weld County,2,"2,495","3,402",8.4
299,Yuma County,11,131,135,12.8
300,Fairfield County,2,"8,508","12,372",9.0
301,Hartford County,1,"10,065","13,423",10.8
302,Litchfield County,3,"1,836","2,687",7.1
303,Middlesex County,1,"1,625","2,124",7.0
304,New Haven County,2,"9,643","13,088",12.0
305,New London County,2,"2,767","3,442",7.8
306,Tolland County,1,"1,299","1,692",7.8
307,Windham County,2,"1,362","1,775",11.5
308,Kent County,2,"2,442","2,434",12.7
309,New Castle County,1,"9,370","9,632",10.4
310,Sussex County,2,"2,957","2,981",12.1
311,Alachua County,2,"3,563","4,121",18.4
312,Baker County,1,319,428,14.9
313,Bay County,2,"3,413","3,703",12.1
314,Bradford County,4,405,475,21.0
315,Brevard County,2,"8,585","10,368",9.4
316,Broward County,1,"31,715","39,951",12.3
317,Calhoun County,6,247,263,20.3
318,Charlotte County,2,"2,084","2,458",11.4
319,Citrus County,2,"2,086","2,528",15.2
320,Clay County,1,"2,276","2,889",8.3
321,Collier County,2,"4,399","5,092",9.4
322,Columbia County,3,"1,029","1,402",15.6
323,DeSoto County,5,601,661,21.8
324,Dixie County,7,233,291,22.2
325,Duval County,1,"13,805","17,489",13.5
326,Escambia County,2,"5,446","6,459",15.5
327,Flagler County,2,768,"1,019",9.7
328,Franklin County,6,177,194,19.2
329,Gadsden County,2,814,970,19.7
330,Gilchrist County,2,235,286,15.0
331,Glades County,4,196,249,19.3
332,Gulf County,2,323,306,14.0
333,Hamilton County,6,249,331,32.5
334,Hardee County,3,647,742,22.1
335,Hendry County,3,"1,196","1,289",19.5
336,Hernando County,1,"2,203","2,644",12.4
337,Highlands County,2,"1,620","1,781",15.8
338,Hillsborough County,1,"17,583","22,401",13.5
339,Holmes County,6,380,468,20.1
340,Indian River County,2,"2,657","3,080",11.5
341,Jackson County,6,908,964,19.4
342,Jefferson County,2,227,279,17.6
343,Lafayette County,12,113,140,18.0
344,Lake County,1,"3,408","4,329",10.9
345,Lee County,2,"6,835","8,183",11.2
346,Leon County,2,"4,188","4,765",20.8
347,Levy County,6,570,745,18.2
348,Liberty County,7,111,128,23.0
349,Madison County,6,319,369,22.7
350,Manatee County,2,"3,993","5,097",11.3
351,Marion County,2,"4,501","5,453",14.9
352,Martin County,2,"2,393","2,911",8.9
353,Miami-Dade County,1,"48,613","48,260",15.7
354,Monroe County,3,"1,317","1,589",9.9
355,Nassau County,1,"1,018","1,231",9.0
356,Okaloosa County,2,"3,016","3,326",10.6
357,Okeechobee County,3,856,965,18.4
358,Orange County,1,"15,585","21,288",12.6
359,Osceola County,1,"3,002","4,122",13.4
360,Palm Beach County,1,"23,266","28,477",11.4
361,Pasco County,1,"5,650","7,210",11.3
362,Pinellas County,1,"15,757","20,404",11.4
363,Polk County,2,"9,726","11,956",14.0
364,Putnam County,3,"1,276","1,572",22.4
365,St. Johns County,1,"2,001","2,537",6.4
366,St. Lucie County,2,"5,122","5,724",10.5
367,Santa Rosa County,2,"2,144","2,530",9.8
368,Sarasota County,2,"4,850","5,894",7.8
369,Seminole County,1,"6,546","8,542",9.3
370,Sumter County,2,742,947,8.9
371,Suwannee County,6,562,772,17.1
372,Taylor County,6,415,550,19.9
373,Union County,4,201,238,19.9
374,Volusia County,2,"7,213","9,200",13.1
375,Wakulla County,2,382,440,12.0
376,Walton County,2,686,794,10.8
377,Washington County,6,412,493,20.1
378,Appling County,9,457,578,20.9
379,Atkinson County,10,184,205,23.2
380,Bacon County,9,210,247,19.2
381,Baker County,2,74,85,24.8
382,Baldwin County,5,905,853,22.9
383,Banks County,6,233,281,12.8
384,Barrow County,1,747,"1,029",9.7
385,Bartow County,1,"1,475","1,828",12.5
386,Ben Hill County,8,391,408,22.8
387,Berrien County,6,318,331,20.1
388,Bibb County,2,"2,997","3,092",23.2
389,Bleckley County,6,215,269,18.5
390,Brantley County,2,282,328,16.1
391,Brooks County,2,344,360,21.9
392,Bryan County,2,359,373,7.8
393,Bulloch County,5,"1,043","1,209",21.9
394,Burke County,2,458,578,23.6
395,Butts County,1,411,414,14.7
396,Calhoun County,7,152,157,35.9
397,Camden County,3,640,679,13.8
398,Candler County,9,183,187,23.1
399,Carroll County,1,"1,651","2,192",14.9
400,Catoosa County,2,787,905,10.0
401,Charlton County,4,160,170,25.9
402,Chatham County,2,"3,947","4,058",14.8
403,Chattahoochee County,2,213,197,18.5
404,Chattooga County,5,434,542,17.4
405,Cherokee County,1,"2,116","2,483",6.5
406,Clarke County,2,"1,836","2,082",25.7
407,Clay County,12,73,78,28.8
408,Clayton County,1,"4,193","5,251",16.0
409,Clinch County,7,147,177,22.0
410,Cobb County,1,"9,949","12,237",8.3
411,Coffee County,8,785,912,20.2
412,Colquitt County,5,885,"1,069",21.9
413,Columbia County,2,"1,359","1,460",5.6
414,Cook County,6,327,357,21.4
415,Coweta County,1,"1,587","1,760",9.0
416,Crawford County,2,231,250,15.3
417,Crisp County,5,450,507,26.7
418,Dade County,2,229,280,13.5
419,Dawson County,1,241,291,8.8
420,Decatur County,5,548,654,23.4
421,DeKalb County,1,"12,402","15,551",12.9
422,Dodge County,6,400,454,20.6
423,Dooly County,6,227,261,28.2
424,Dougherty County,2,"2,141","2,237",27.6
425,Douglas County,1,"1,505","1,717",10.9
426,Early County,6,265,266,27.3
427,Echols County,2,63,72,21.6
428,Effingham County,2,592,631,9.1
429,Elbert County,6,504,554,20.6
430,Emanuel County,9,556,586,20.9
431,Evans County,6,201,194,24.1
432,Fannin County,4,350,409,12.1
433,Fayette County,1,"1,307","1,428",5.4
434,Floyd County,2,"1,688","2,051",16.4
435,Forsyth County,1,"1,361","1,769",4.5
436,Franklin County,6,385,534,17.3
437,Fulton County,1,"14,643","18,368",13.8
438,Gilmer County,4,371,415,14.6
439,Glascock County,12,48,53,16.9
440,Glynn County,2,"1,212","1,300",15.4
441,Gordon County,3,810,"1,258",12.3
442,Grady County,6,483,480,21.7
443,Greene County,4,279,432,15.0
444,Gwinnett County,1,"9,372","12,008",9.2
445,Habersham County,5,636,812,15.2
446,Hall County,2,"2,152","2,634",13.5
447,Hancock County,8,254,313,31.2
448,Haralson County,1,436,562,14.4
449,Harris County,2,401,459,6.5
450,Hart County,6,447,656,14.6
451,Heard County,1,201,257,16.7
452,Henry County,1,"1,785","2,168",8.1
453,Houston County,2,"1,799","1,867",11.0
454,Irwin County,9,208,244,20.5
455,Jackson County,3,670,926,10.3
456,Jasper County,1,184,207,12.4
457,Jeff Davis County,9,264,427,21.2
458,Jefferson County,7,447,546,25.1
459,Jenkins County,6,194,222,29.0
460,Johnson County,8,203,207,24.2
461,Jones County,2,449,423,12.8
462,Lamar County,1,356,400,14.8
463,Lanier County,2,162,140,18.5
464,Laurens County,8,962,964,23.9
465,Lee County,2,444,473,9.3
466,Liberty County,2,"1,019",987,14.5
467,Lincoln County,2,213,291,17.3
468,Long County,2,155,147,14.2
469,Lowndes County,2,"1,913","1,676",20.4
470,Lumpkin County,4,319,368,14.5
471,McDuffie County,2,432,592,18.0
472,McIntosh County,2,207,207,18.7
473,Macon County,6,355,361,29.4
474,Madison County,2,443,560,15.6
475,Marion County,2,130,182,21.1
476,Meriwether County,1,454,539,22.2
477,Miller County,7,133,133,21.3
478,Mitchell County,6,502,526,30.7
479,Monroe County,2,415,429,10.6
480,Montgomery County,8,222,258,19.4
481,Morgan County,1,277,276,11.1
482,Murray County,2,652,842,14.5
483,Muscogee County,2,"3,905","4,155",18.4
484,Newton County,1,"1,040","1,244",11.2
485,Oconee County,2,362,398,5.6
486,Oglethorpe County,2,199,269,12.8
487,Paulding County,1,"1,207","1,419",6.8
488,Peach County,2,486,495,19.8
489,Pickens County,1,371,429,10.3
490,Pierce County,5,304,329,16.4
491,Pike County,1,254,276,8.7
492,Polk County,3,712,891,16.2
493,Pulaski County,2,176,273,20.7
494,Putnam County,4,316,356,15.1
495,Quitman County,11,65,79,22.8
496,Rabun County,10,230,277,13.0
497,Randolph County,6,176,236,25.3
498,Richmond County,2,"3,800","4,261",21.7
499,Rockdale County,1,"1,131","1,284",12.1
500,Schley County,5,70,82,15.9
501,Screven County,6,319,444,24.1
502,Seminole County,6,196,210,22.6
503,Spalding County,1,"1,195","1,354",17.7
504,Stephens County,8,472,687,15.0
505,Stewart County,6,112,146,34.7
506,Sumter County,5,627,852,26.7
507,Talbot County,4,153,179,19.6
508,Taliaferro County,7,43,73,22.5
509,Tattnall County,6,504,432,26.5
510,Taylor County,7,178,202,22.9
511,Telfair County,11,339,474,27.7
512,Terrell County,2,243,289,28.2
513,Thomas County,5,825,861,18.0
514,Tift County,8,771,859,21.5
515,Toombs County,8,793,761,19.2
516,Towns County,12,181,167,12.7
517,Treutlen County,9,203,176,31.6
518,Troup County,3,"1,072","1,371",19.2
519,Turner County,6,240,308,28.0
520,Twiggs County,2,201,250,19.0
521,Union County,12,316,309,11.6
522,Upson County,3,641,"1,063",19.1
523,Walker County,2,"1,064","1,328",14.7
524,Walton County,1,"1,002","1,216",10.8
525,Ware County,8,758,802,26.3
526,Warren County,7,144,220,26.5
527,Washington County,9,401,430,21.4
528,Wayne County,5,555,569,18.4
529,Webster County,6,40,52,18.4
530,Wheeler County,9,142,169,34.2
531,White County,6,376,396,10.9
532,Whitfield County,2,"1,518","1,961",12.7
533,Wilcox County,6,152,179,29.4
534,Wilkes County,6,232,401,19.6
535,Wilkinson County,7,191,207,17.0
536,Worth County,2,445,516,20.3
537,Hawaii County,8,"3,701","3,807",13.1
538,Kauai County,8,"1,457","1,549",9.3
539,Maui County,2,"2,780","2,947",10.7
540,Ada County,2,"5,731","6,774",9.4
541,Adams County,12,192,220,12.7
542,Bannock County,2,"1,771","1,880",13.5
543,Bear Lake County,11,144,139,11.8
544,Benewah County,7,442,424,15.4
545,Bingham County,5,864,947,11.1
546,Blaine County,8,419,425,7.2
547,Boise County,2,168,141,11.6
548,Bonner County,5,"1,356","1,438",12.6
549,Bonneville County,2,"1,411","1,542",9.3
550,Boundary County,9,324,381,14.8
551,Butte County,2,62,64,14.6
552,Camas County,8,20,21,9.0
553,Canyon County,2,"2,936","3,581",10.1
554,Caribou County,6,166,185,10.1
555,Cassia County,8,507,501,12.0
556,Clark County,12,28,30,14.5
557,Clearwater County,6,486,527,13.5
558,Custer County,7,144,168,13.0
559,Elmore County,5,605,627,14.1
560,Franklin County,2,168,211,8.2
561,Fremont County,5,271,273,12.7
562,Gem County,2,359,499,12.7
563,Gooding County,9,271,280,15.1
564,Idaho County,6,585,612,13.8
565,Jefferson County,2,337,364,9.2
566,Jerome County,8,397,388,14.2
567,Kootenai County,2,"3,554","4,199",10.0
568,Latah County,5,748,766,11.7
569,Lemhi County,11,306,292,13.5
570,Lewis County,7,114,122,13.2
571,Lincoln County,8,95,91,11.2
572,Madison County,5,447,422,27.4
573,Minidoka County,8,579,562,11.3
574,Nez Perce County,2,982,"1,064",11.1
575,Oneida County,7,67,73,11.3
576,Owyhee County,2,186,204,14.9
577,Payette County,5,660,792,11.0
578,Power County,6,206,206,13.1
579,Shoshone County,7,593,716,19.1
580,Teton County,8,108,101,7.7
581,Twin Falls County,8,"1,408","1,467",11.0
582,Valley County,6,276,312,8.8
583,Washington County,6,352,336,13.4
584,Adams County,8,"1,281","1,545",12.3
585,Alexander County,2,270,280,24.0
586,Bond County,1,349,400,13.0
587,Boone County,2,"1,031","1,374",8.9
588,Brown County,10,92,96,14.8
589,Bureau County,8,906,944,11.2
590,Calhoun County,1,134,150,9.7
591,Carroll County,9,477,583,11.1
592,Cass County,6,316,320,13.0
593,Champaign County,2,"3,323","3,606",19.9
594,Christian County,5,896,907,12.3
595,Clark County,6,411,504,10.8
596,Clay County,9,417,458,13.8
597,Clinton County,1,669,786,7.5
598,Coles County,8,"1,120","1,357",16.8
599,Cook County,1,"134,704","167,626",13.0
600,Crawford County,9,524,576,12.6
601,Cumberland County,8,269,348,10.1
602,DeKalb County,1,"1,759","2,278",13.0
603,De Witt County,2,483,439,11.0
604,Douglas County,6,390,448,8.0
605,DuPage County,1,"18,045","23,692",6.0
606,Edgar County,6,426,499,13.2
607,Edwards County,12,183,175,11.8
608,Effingham County,8,781,857,9.2
609,Fayette County,4,615,654,15.1
610,Ford County,2,263,325,10.0
611,Franklin County,6,"1,162","1,311",16.4
612,Fulton County,5,944,"1,049",13.3
613,Gallatin County,7,170,164,19.0
614,Greene County,4,356,384,13.7
615,Grundy County,1,"1,131","1,306",5.6
616,Hamilton County,9,195,228,12.7
617,Hancock County,8,470,636,12.3
618,Hardin County,12,124,132,18.0
619,Henderson County,8,170,201,11.0
620,Henry County,2,"1,277","1,356",8.7
621,Iroquois County,4,684,881,11.6
622,Jackson County,2,"1,270","1,303",25.4
623,Jasper County,9,257,283,9.9
624,Jefferson County,8,980,"1,104",14.9
625,Jersey County,1,487,554,10.4
626,Jo Daviess County,6,529,638,9.3
627,Johnson County,6,292,285,12.9
628,Kane County,1,"9,077","11,886",8.2
629,Kankakee County,2,"2,302","2,683",12.7
630,Kendall County,1,"1,088","1,466",4.0
631,Knox County,5,"1,299","1,520",18.6
632,Lake County,1,"11,774","14,452",7.2
633,LaSalle County,3,"2,895","3,242",12.2
634,Lawrence County,9,438,447,18.4
635,Lee County,3,728,857,12.0
636,Livingston County,3,716,849,13.0
637,Logan County,5,570,626,12.8
638,McDonough County,8,697,740,23.3
639,McHenry County,1,"5,549","7,396",5.4
640,McLean County,2,"2,726","2,808",14.3
641,Macon County,2,"2,797","3,288",16.7
642,Macoupin County,1,"1,055","1,260",13.5
643,Madison County,1,"5,551","6,412",10.9
644,Marion County,3,"1,138","1,659",15.0
645,Marshall County,2,278,332,9.0
646,Mason County,6,441,496,12.1
647,Massac County,8,369,379,15.9
648,Menard County,2,240,281,8.2
649,Mercer County,2,472,479,8.1
650,Monroe County,1,489,584,4.2
651,Montgomery County,4,768,855,16.0
652,Morgan County,5,756,819,13.8
653,Moultrie County,6,301,344,8.6
654,Ogle County,3,"1,118","1,332",9.4
655,Peoria County,2,"3,956","4,500",14.8
656,Perry County,6,695,664,14.4
657,Piatt County,2,313,344,6.5
658,Pike County,9,442,475,14.4
659,Pope County,7,130,134,16.9
660,Pulaski County,7,211,232,22.0
661,Putnam County,5,151,177,7.6
662,Randolph County,4,736,782,12.7
663,Richland County,11,465,461,13.1
664,Rock Island County,2,"3,385","3,524",13.6
665,St. Clair County,1,"5,791","6,214",13.3
666,Saline County,6,789,727,15.7
667,Sangamon County,2,"3,719","4,074",12.2
668,Schuyler County,9,197,181,11.3
669,Scott County,8,139,145,11.2
670,Shelby County,6,557,639,9.4
