,State Name,County Name,PERCENT_MALE,PERCENT_FEMALE,Age 16 to 24,Age 25 to 34,Age 35 to 54,Age 55 and Up
121,Arkansas,Clay County,48.81,51.19,11.33,11.6,23.74,35.87
122,Arkansas,Cleburne County,49.12,50.88,9.7,9.68,22.42,42.89
123,Arkansas,Cleveland County,49.5,50.5,11.21,10.68,24.4,36.29
124,Arkansas,Columbia County,48.29,51.71,21.02,10.97,20.88,29.88
125,Arkansas,Conway County,49.22,50.78,10.99,11.82,23.84,34.69
126,Arkansas,Craighead County,48.54,51.46,14.71,15.37,24.07,24.98
127,Arkansas,Crawford County,49.36,50.64,11.95,12.67,24.71,30.58
128,Arkansas,Crittenden County,47.51,52.49,13.38,13.15,23.85,27.1
129,Arkansas,Cross County,48.58,51.42,11.32,11.75,24.61,32.94
130,Arkansas,Dallas County,49.45,50.55,10.46,10.73,22.06,39.51
131,Arkansas,Desha County,47.17,52.83,12.17,11.31,21.77,34.03
132,Arkansas,Drew County,48.7,51.3,17.18,12.25,21.81,30.75
133,Arkansas,Faulkner County,48.8,51.2,18.84,14.24,24.02,24.03
134,Arkansas,Franklin County,49.88,50.12,12.12,11.18,24.34,34.09
135,Arkansas,Fulton County,49.37,50.63,10.6,9.2,21.78,41.24
136,Arkansas,Garland County,48.08,51.92,10.65,11.34,22.91,38.7
137,Arkansas,Grant County,49.36,50.64,11.5,12.29,25.74,32.38
138,Arkansas,Greene County,49.28,50.72,12.41,13.32,25.63,28.51
139,Arkansas,Hempstead County,48.43,51.57,11.82,11.31,22.73,32.39
140,Arkansas,Hot Spring County,52.25,47.75,11.77,12.9,25.38,33.36
141,Arkansas,Howard County,48.27,51.73,11.95,11.56,23.23,31.3
142,Arkansas,Independence County,48.85,51.15,12.69,11.87,24.13,30.91
143,Arkansas,Izard County,51.9,48.1,10.07,10.55,23.45,41.07
144,Arkansas,Jackson County,49.63,50.37,11.05,14.9,25.59,31.71
145,Arkansas,Jefferson County,49.39,50.61,13.96,12.88,23.58,31.59
146,Arkansas,Johnson County,49.5,50.5,13.63,12.38,23.81,29.92
147,Arkansas,Lafayette County,48.88,51.12,10.55,10.81,22.66,41.12
148,Arkansas,Lawrence County,48.98,51.02,13.06,11.74,23.27,33.59
149,Arkansas,Lee County,56.26,43.74,11.14,15.61,25.21,32.92
150,Arkansas,Lincoln County,61.39,38.61,13.33,17.33,28.08,28.03
151,Arkansas,Little River County,48.16,51.84,11.02,11.7,23.92,34.83
152,Arkansas,Logan County,49.85,50.15,11.62,11.58,24.64,35.05
153,Arkansas,Lonoke County,49.05,50.95,12.53,14.02,26.4,26.13
154,Arkansas,Madison County,50.07,49.93,11.44,11.94,23.52,33.95
155,Arkansas,Marion County,49.0,51.0,8.3,8.91,20.7,46.92
156,Arkansas,Miller County,49.23,50.77,11.82,13.06,25.39,30.22
157,Arkansas,Mississippi County,48.69,51.31,13.36,13.13,23.61,28.28
158,Arkansas,Monroe County,46.81,53.19,9.98,10.51,21.52,40.37
159,Arkansas,Montgomery County,49.6,50.4,10.08,9.14,22.05,43.69
160,Arkansas,Nevada County,49.54,50.46,10.97,11.1,23.39,35.64
161,Arkansas,Newton County,50.52,49.48,10.34,9.62,21.62,43.04
162,Arkansas,Ouachita County,47.25,52.75,10.92,11.33,22.42,36.66
163,Arkansas,Perry County,49.62,50.38,11.24,10.57,24.74,34.78
164,Arkansas,Phillips County,46.92,53.08,12.66,10.78,21.17,33.79
165,Arkansas,Pike County,49.8,50.2,11.76,10.92,24.79,34.93
166,Arkansas,Poinsett County,48.36,51.64,11.84,12.59,24.09,31.7
167,Arkansas,Polk County,48.82,51.18,11.33,10.24,22.14,37.79
168,Arkansas,Pope County,49.6,50.4,15.94,13.58,23.0,28.44
169,Arkansas,Prairie County,50.22,49.78,10.2,10.54,23.37,38.89
170,Arkansas,Pulaski County,47.71,52.29,12.26,14.68,24.7,28.98
171,Arkansas,Randolph County,49.55,50.45,11.41,12.5,23.66,32.72
172,Arkansas,St. Francis County,55.21,44.79,11.23,14.97,26.55,29.72
173,Arkansas,Saline County,48.83,51.17,11.31,12.69,26.22,30.78
174,Arkansas,Scott County,50.68,49.32,10.96,11.59,22.46,35.94
175,Arkansas,Searcy County,50.12,49.88,10.06,10.11,21.89,41.72
176,Arkansas,Sebastian County,48.88,51.12,12.9,13.44,24.46,29.26
177,Arkansas,Sevier County,50.06,49.94,13.65,12.46,23.59,26.34
178,Arkansas,Sharp County,49.19,50.81,10.53,9.84,21.43,41.54
179,Arkansas,Stone County,49.62,50.38,10.08,9.34,20.87,44.24
180,Arkansas,Union County,48.71,51.29,11.77,11.8,23.98,32.49
181,Arkansas,Van Buren County,49.8,50.2,10.06,8.95,22.48,42.85
182,Arkansas,Washington County,49.99,50.01,18.41,15.08,24.09,22.22
183,Arkansas,White County,48.71,51.29,15.07,12.41,23.91,29.59
184,Arkansas,Woodruff County,48.42,51.58,11.08,10.24,23.09,37.91
185,Arkansas,Yell County,50.09,49.91,11.93,11.76,24.24,32.01
186,California,Alameda County,49.26,50.74,11.45,16.73,28.35,26.43
187,California,Alpine County,53.94,46.06,12.75,10.19,18.95,44.46
188,California,Amador County,54.43,45.57,8.1,11.01,24.57,43.79
189,California,Butte County,49.49,50.51,17.85,13.15,21.55,30.62
190,California,Calaveras County,49.77,50.23,9.16,9.9,21.1,46.01
191,California,Colusa County,50.94,49.06,13.7,13.48,23.75,26.66
192,California,Contra Costa County,48.91,51.09,12.09,12.68,27.36,29.52
193,California,Del Norte County,54.6,45.4,10.83,14.0,24.85,32.81
194,California,El Dorado County,49.86,50.14,10.67,10.2,24.34,38.81
195,California,Fresno County,49.91,50.09,14.2,15.41,23.73,22.96
196,California,Glenn County,50.94,49.06,13.48,13.11,22.49,28.61
197,California,Humboldt County,49.6,50.4,15.7,13.36,23.68,31.48
198,California,Imperial County,51.25,48.75,14.47,14.86,23.12,23.61
199,California,Inyo County,50.09,49.91,9.62,10.79,22.55,39.55
200,California,Kern County,51.21,48.79,14.63,15.62,23.9,21.72
201,California,Kings County,55.15,44.85,14.91,17.0,25.19,19.94
202,California,Lake County,50.0,50.0,9.96,11.38,22.21,38.67
203,California,Lassen County,62.23,37.77,12.35,18.63,27.28,27.23
204,California,Los Angeles County,49.3,50.7,12.91,16.32,26.85,26.18
205,California,Madera County,48.23,51.77,13.72,13.94,23.99,25.37
206,California,Marin County,48.92,51.08,10.49,8.6,26.93,38.03
207,California,Mariposa County,50.94,49.06,8.71,10.96,20.2,46.79
208,California,Mendocino County,49.59,50.41,10.61,11.26,23.44,37.13
209,California,Merced County,50.48,49.52,16.12,14.68,23.41,21.48
210,California,Modoc County,50.31,49.69,9.58,10.32,21.11,43.19
211,California,Mono County,53.02,46.98,12.24,15.51,25.64,31.99
212,California,Monterey County,50.94,49.06,14.1,14.28,24.75,25.12
213,California,Napa County,49.76,50.24,12.27,12.34,25.63,33.43
214,California,Nevada County,49.12,50.88,8.89,9.69,22.4,45.18
215,California,Orange County,49.34,50.66,12.79,14.47,26.68,28.16
216,California,Placer County,48.83,51.17,11.32,10.92,26.32,33.41
217,California,Plumas County,49.75,50.25,8.64,10.12,19.89,46.85
218,California,Riverside County,49.87,50.13,13.87,13.99,25.23,26.4
219,California,Sacramento County,48.9,51.1,12.25,15.82,25.76,26.65
220,California,San Benito County,50.07,49.93,13.52,13.7,26.38,25.29
221,California,San Bernardino County,49.8,50.2,14.46,15.46,25.05,23.3
222,California,San Diego County,50.33,49.67,13.5,16.46,25.71,26.37
223,California,San Francisco County,50.96,49.04,8.77,23.48,28.72,27.55
224,California,San Joaquin County,49.88,50.12,14.11,14.09,25.2,24.31
225,California,San Luis Obispo County,50.64,49.36,18.02,11.42,21.82,34.27
226,California,San Mateo County,49.51,50.49,10.7,15.09,27.89,29.53
227,California,Santa Barbara County,50.0,50.0,19.09,13.47,21.92,26.97
228,California,Santa Clara County,50.67,49.33,12.03,16.38,27.87,25.81
229,California,Santa Cruz County,49.48,50.52,18.23,12.12,23.54,30.48
230,California,Shasta County,49.13,50.87,11.18,12.85,22.57,35.48
231,California,Sierra County,50.22,49.78,7.32,7.79,20.97,50.22
232,California,Siskiyou County,49.73,50.27,10.1,10.34,20.77,42.05
233,California,Solano County,49.76,50.24,12.19,14.68,25.1,29.72
234,California,Sonoma County,48.8,51.2,11.45,12.7,25.04,35.0
235,California,Stanislaus County,49.57,50.43,13.8,14.56,24.48,24.73
236,California,Sutter County,49.81,50.19,12.99,14.09,23.9,27.68
237,California,Tehama County,49.73,50.27,11.49,12.31,22.61,33.84
238,California,Trinity County,51.4,48.6,8.34,8.73,21.99,46.57
239,California,Tulare County,49.98,50.02,15.09,14.24,23.65,21.58
240,California,Tuolumne County,51.79,48.21,9.35,11.97,21.98,42.73
241,California,Ventura County,49.49,50.51,13.16,13.51,25.36,29.42
242,California,Yolo County,48.47,51.53,23.79,13.5,22.42,23.14
243,California,Yuba County,50.62,49.38,13.5,15.64,23.23,24.35
244,Colorado,Adams County,50.56,49.44,13.22,16.42,27.08,21.59
245,Colorado,Alamosa County,49.94,50.06,19.28,14.29,20.94,24.96
246,Colorado,Arapahoe County,49.63,50.37,12.11,15.83,27.27,25.56
247,Colorado,Archuleta County,50.37,49.63,8.8,9.15,22.18,45.3
248,Colorado,Baca County,50.18,49.82,10.3,10.42,20.97,39.23
249,Colorado,Bent County,64.35,35.65,11.48,16.41,27.85,31.47
250,Colorado,Boulder County,50.37,49.63,18.08,14.23,25.18,27.36
251,Colorado,Broomfield County,49.73,50.27,11.87,15.84,28.25,26.12
252,Colorado,Chaffee County,52.99,47.01,8.76,12.51,23.96,42.43
253,Colorado,Cheyenne County,50.68,49.32,10.7,9.94,21.57,36.16
254,Colorado,Clear Creek County,52.94,47.06,7.63,11.65,27.89,40.39
255,Colorado,Conejos County,50.13,49.87,13.22,10.99,21.11,33.87
256,Colorado,Costilla County,51.38,48.62,10.16,9.72,20.09,44.33
257,Colorado,Crowley County,73.49,26.51,11.63,21.76,32.5,24.78
258,Colorado,Custer County,51.7,48.3,7.66,7.52,18.73,54.89
259,Colorado,Delta County,50.26,49.74,9.96,9.98,21.25,42.78
260,Colorado,Denver County,50.12,49.88,10.83,23.6,27.69,21.62
261,Colorado,Dolores County,52.51,47.49,9.39,9.0,23.02,42.82
262,Colorado,Douglas County,49.96,50.04,12.77,11.45,30.42,25.18
263,Colorado,Eagle County,52.84,47.16,11.02,15.78,30.55,25.11
264,Colorado,Elbert County,50.55,49.45,11.63,9.04,26.63,35.86
265,Colorado,El Paso County,50.51,49.49,14.59,16.16,24.36,25.0
266,Colorado,Fremont County,57.55,42.45,9.55,14.43,26.03,36.82
267,Colorado,Garfield County,51.07,48.93,12.0,13.76,26.62,26.78
268,Colorado,Gilpin County,52.55,47.45,7.8,11.04,30.07,39.31
269,Colorado,Grand County,53.48,46.52,10.02,14.04,25.85,36.71
270,Colorado,Gunnison County,54.07,45.93,20.66,14.74,25.38,25.72
271,Colorado,Hinsdale County,51.46,48.54,10.73,8.41,19.27,48.9
272,Colorado,Huerfano County,51.05,48.95,8.22,8.83,19.11,50.95
273,Colorado,Jackson County,51.51,48.49,8.55,10.78,26.01,40.45
274,Colorado,Jefferson County,49.94,50.06,11.0,15.2,26.71,31.14
275,Colorado,Kiowa County,48.93,51.07,10.67,9.82,19.63,40.04
276,Colorado,Kit Carson County,50.05,49.95,10.84,11.39,21.91,34.59
277,Colorado,Lake County,53.94,46.06,12.9,17.2,26.05,27.28
278,Colorado,La Plata County,50.42,49.58,12.37,13.39,25.5,33.39
279,Colorado,Larimer County,49.84,50.16,17.36,14.89,23.32,28.49
280,Colorado,Las Animas County,52.24,47.76,11.84,11.55,21.3,40.65
281,Colorado,Lincoln County,58.45,41.55,11.49,16.0,25.4,30.22
282,Colorado,Logan County,57.25,42.75,13.88,15.93,24.54,30.87
283,Colorado,Mesa County,49.5,50.5,12.45,13.11,23.1,33.69
284,Colorado,Mineral County,50.33,49.67,6.76,10.14,21.72,50.46
285,Colorado,Moffat County,51.14,48.86,11.8,12.69,24.11,29.99
286,Colorado,Montezuma County,49.33,50.67,10.22,11.31,22.0,38.52
287,Colorado,Montrose County,49.21,50.79,10.66,10.36,22.52,38.94
288,Colorado,Morgan County,50.98,49.02,12.53,14.48,23.35,27.78
289,Colorado,Otero County,48.96,51.04,13.0,11.59,22.12,33.76
290,Colorado,Ouray County,50.69,49.31,7.63,8.28,24.07,47.92
291,Colorado,Park County,52.69,47.31,7.37,9.76,26.37,44.27
292,Colorado,Phillips County,49.0,51.0,10.15,10.34,22.06,37.23
293,Colorado,Pitkin County,51.77,48.23,9.44,14.82,28.46,35.62
294,Colorado,Prowers County,50.45,49.55,14.3,11.32,21.44,31.44
295,Colorado,Pueblo County,49.32,50.68,12.7,13.22,23.6,32.22
296,Colorado,Rio Blanco County,51.17,48.83,13.01,11.81,23.5,31.01
297,Colorado,Rio Grande County,50.0,50.0,12.19,11.96,22.6,34.99
298,Colorado,Routt County,51.85,48.15,10.65,14.51,28.54,32.0
299,Colorado,Saguache County,49.72,50.28,10.14,8.0,22.66,42.1
300,Colorado,San Juan County,55.08,44.92,7.55,10.58,25.96,45.88
301,Colorado,San Miguel County,52.79,47.21,9.27,16.02,30.36,30.22
302,Colorado,Sedgwick County,49.69,50.31,10.01,10.68,20.02,43.51
303,Colorado,Summit County,54.68,45.32,8.93,20.23,29.14,28.12
304,Colorado,Teller County,50.7,49.3,8.99,9.55,23.76,43.95
305,Colorado,Washington County,52.14,47.86,11.02,11.65,22.72,36.08
306,Colorado,Weld County,50.59,49.41,13.21,15.45,25.89,23.75
307,Colorado,Yuma County,50.05,49.95,11.55,11.96,22.52,30.91
308,Connecticut,Fairfield County,48.7,51.3,13.28,11.5,26.66,30.51
309,Connecticut,Hartford County,48.58,51.42,12.74,13.38,25.51,31.3
310,Connecticut,Litchfield County,49.52,50.48,11.05,10.73,24.67,39.29
311,Connecticut,Middlesex County,48.67,51.33,12.36,11.7,24.93,37.32
312,Connecticut,New Haven County,48.21,51.79,13.5,13.46,24.86,31.87
313,Connecticut,New London County,50.15,49.85,13.49,13.19,24.01,33.7
314,Connecticut,Tolland County,50.02,49.98,22.12,11.23,22.66,30.27
315,Connecticut,Windham County,49.63,50.37,13.28,12.81,25.47,32.41
316,Delaware,Kent County,48.16,51.84,13.62,13.6,23.4,30.42
317,Delaware,New Castle County,48.4,51.6,12.81,14.49,25.38,29.69
318,Delaware,Sussex County,48.36,51.64,9.03,10.06,20.44,45.14
319,District of Columbia,District of Columbia,47.43,52.57,12.46,23.31,25.97,22.28
320,Florida,Alachua County,48.2,51.8,23.18,15.52,20.82,25.28
321,Florida,Baker County,52.6,47.4,12.23,14.98,26.48,26.55
322,Florida,Bay County,49.58,50.42,10.75,13.44,24.99,33.55
323,Florida,Bradford County,55.64,44.36,11.17,15.72,25.96,30.94
324,Florida,Brevard County,48.91,51.09,10.33,11.45,22.71,40.65
325,Florida,Broward County,48.69,51.31,11.24,13.44,27.13,30.71
326,Florida,Calhoun County,53.97,46.03,10.67,13.65,26.7,32.48
327,Florida,Charlotte County,48.72,51.28,7.07,7.77,17.52,58.02
328,Florida,Citrus County,48.49,51.51,7.83,8.67,18.48,53.01
329,Florida,Clay County,49.33,50.67,12.1,12.53,26.36,30.32
330,Florida,Collier County,49.27,50.73,9.42,9.48,20.86,46.46
331,Florida,Columbia County,51.76,48.24,12.18,13.13,23.64,33.03
332,Florida,DeSoto County,56.3,43.7,12.1,14.21,23.89,34.48
333,Florida,Dixie County,55.14,44.86,9.67,11.66,24.33,39.07
334,Florida,Duval County,48.47,51.53,12.03,16.59,24.99,27.25
335,Florida,Escambia County,49.39,50.61,14.55,14.84,22.35,30.72
336,Florida,Flagler County,48.12,51.88,9.37,8.97,21.37,46.92
337,Florida,Franklin County,56.92,43.08,9.18,14.93,23.86,39.17
338,Florida,Gadsden County,47.47,52.53,11.55,12.04,25.39,32.88
339,Florida,Gilchrist County,51.6,48.4,15.35,10.31,22.54,35.39
340,Florida,Glades County,55.75,44.25,9.35,12.69,25.27,41.06
341,Florida,Gulf County,50.52,49.48,9.19,10.49,22.23,42.68
342,Florida,Hamilton County,57.85,42.15,14.45,13.98,24.1,31.72
343,Florida,Hardee County,52.83,47.17,14.11,13.4,23.12,28.05
344,Florida,Hendry County,52.96,47.04,13.25,14.11,25.13,25.01
345,Florida,Hernando County,48.2,51.8,9.84,10.64,22.41,42.12
346,Florida,Highlands County,48.84,51.16,8.9,9.57,18.27,49.26
347,Florida,Hillsborough County,48.94,51.06,12.46,15.31,27.04,26.73
348,Florida,Holmes County,53.14,46.86,11.6,12.85,24.97,33.82
349,Florida,Indian River County,48.0,52.0,9.0,9.23,19.61,49.43
350,Florida,Jackson County,53.91,46.09,11.47,13.05,25.88,34.09
351,Florida,Jefferson County,52.54,47.46,8.78,11.55,25.28,40.54
352,Florida,Lafayette County,56.04,43.96,14.14,13.74,27.01,29.13
353,Florida,Lake County,48.43,51.57,9.8,11.09,22.69,40.78
354,Florida,Lee County,48.96,51.04,9.8,10.92,21.7,43.28
355,Florida,Leon County,47.28,52.72,24.31,14.38,21.22,24.58
356,Florida,Levy County,48.9,51.1,9.5,11.3,21.85,41.04
357,Florida,Liberty County,61.87,38.13,11.54,17.19,30.0,27.28
358,Florida,Madison County,53.11,46.89,10.7,13.91,24.94,35.22
359,Florida,Manatee County,48.31,51.69,9.66,10.52,22.12,42.9
360,Florida,Marion County,47.92,52.08,9.73,10.98,20.99,42.96
361,Florida,Martin County,49.42,50.58,8.96,9.39,21.05,47.41
362,Florida,Miami-Dade County,48.59,51.41,11.65,14.1,28.04,29.34
363,Florida,Monroe County,51.81,48.19,8.51,12.3,26.0,40.38
364,Florida,Nassau County,49.11,50.89,9.91,11.38,24.07,38.3
365,Florida,Okaloosa County,50.67,49.33,12.14,15.98,23.29,29.75
366,Florida,Okeechobee County,53.68,46.32,11.1,13.33,24.86,33.02
367,Florida,Orange County,49.07,50.93,13.89,16.79,27.37,23.65
368,Florida,Osceola County,49.39,50.61,13.51,14.35,27.83,24.44
369,Florida,Palm Beach County,48.47,51.53,10.73,11.89,24.01,37.71
370,Florida,Pasco County,48.62,51.38,10.52,11.26,25.26,36.23
371,Florida,Pinellas County,48.01,51.99,9.27,12.16,23.86,41.59
372,Florida,Polk County,49.04,50.96,12.16,13.19,23.82,32.66
